,id,author_id,text,geo
43,1446698362904842241,1389571979246587906,"Yikes. Another j stan belittling and invalidating Leigh-Anne’s experiences with racism and comparing it to jn’s. This person literally has NO IDEA what us POC experience on a day-to-day basis. Apparently since jn can do no wrong, it’s okay to dismiss the racism we suffer through https://t.co/19o9R7WNeI",
44,1446698345020416000,60018034,"This article address three components of successful conversations about racism in the workplace. Learn here how to move beyond performative pleasantries to real anti-racism progress.
#Diversity #Inclusion #AntiRacism https://t.co/LJRbAFQXZY",
45,1446698335583158273,1271439514460753920,"teumeau! dari yg pernah drop @ disini, siapa aja yg blm ke tag? au nya udh debut, drop @ dibawah ajaa yaa (waktu itu cuma bisa ke scroll 300 orang aja😭)  https://t.co/RzEV0B6GMJ",
46,1446698327148404737,195375608,"Sadly, this is how A LOT of black people consciously or subconsciously think because of internalized racism. This is why mixed children are fetishized even before they are born. This is why they want mixed people to solely ID as black because it soothes their inferiority complex. https://t.co/MYwvz7pOmK",
47,1446698319003021316,1308416458033160204,Lupa blm nonton little mom cug 😭,
48,1446698262610669568,24944653,"""We hate to Love You, while Loving to Hate You""

Racism In Living Colour | Feeding the BEAST with Cordell Pace | #FTBrant https://t.co/CqAwgwBcn1 via @YouTube",
49,1446698244281491457,1389119282726924291,udh prnah gw post blm sih https://t.co/qrnbpu6Vun,
50,1446698222433357826,1199979537410297857,Udah aman blm nih? Mau mulai ngehunter sekarang hehe,
51,1446698209913487361,121497095,"-Pay more
-Not penalize employees for using PTO hours
-Not allow racism in the workplace
-Actually enforce safety protocols https://t.co/poX1PxHZHk",
52,1446698196600643586,1314415457386913792,Lm j heejin blm pernah dipake RP/BA https://t.co/dxIuAoKMif,
53,1446698194889441282,2559092034,Siapa sih yg gk suka makan Okonomiyaki? blm coba? buat aja sendiri dirumah dengan KotakoMix! | 2159402A 085718512417 https://t.co/Gu4UfhLmOF,
54,1446698172093399041,1423572329636921350,SUMPAH INI GUE BLM MANDI BADMINTON BENTAR LG TP KUCING GUE GAK MAU DITINGGAL,
55,1446698151008632841,3655093632,"Mungkin hari ini blm rezeki, semoga besok ada rezekinya 😇🤲",
56,1446698136660029441,1362458543497035777,"Pics: NY Times suggests 6 new US flag replacement designs, incl. 'repairing systemic racism' and 'caring for our planet' designs https://t.co/jdyQBCWcE7 via @amermilnews",
57,1446698110001074176,60018034,"Learn about three key components of successful racism conversations and chose to include!
#Diversity #Inclusion https://t.co/OfvfdXitr2",
58,1446698014941253632,289118612,"Take 2-minutes today and listen to this tutorial on systemic and institutionalized racism...

https://t.co/0ded0gV7Ac
via RexChapman 06",
59,1446698008347766786,1443065644027498502,"Deadline tugas jam 2, tugasnya rangkuman dan jam segini gw blm apa apa malah scroll tl. Bilang apa?",
60,1446697996943380481,1158797320135200768,Dri shubuh mati lampu sampe skrg blm nyala😢,
61,1446697944569159681,220605656,moga lucy ny blm sold.. klo dh sold mnangis sj,
62,1446697916530184193,755982620203167745,SNL season 1 is on YouTube tv and just wow the racism,
63,1446697888537481226,1257508877861453825,"siang moots(◠‿・) blm siang bgt, tpi anggep aja dah siang. jngan lupa makan siang!!!",
