text,retweet_count,favorite_count,clean_tweet,Hash words,scores,compound,comp_score
"2021年08月14日に実施された「#小田急フェミサイドに抗議します」（東京・新宿）の模様です。
People protesting Femicide (a hate crime targeting women) on the O… https://t.co/aezoH1L2Og",0,0,2021nian 08yue 14ri nishi shi sareta[#xiao tian ji huemisaidonikang yi shimasu] (dong jing xin su )nomo yang desu. peopl protest femicid (a hate crime target women) o...,No hashtags,"{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.8481}",-0.8481,neg
"2021年08月14日に実施された「#小田急フェミサイドに抗議します」（東京・新宿）の模様です。
People protesting Femicide (a hate crime targeting women) on the O… https://t.co/8PRIbjZUUW",0,0,2021nian 08yue 14ri nishi shi sareta[#xiao tian ji huemisaidonikang yi shimasu] (dong jing xin su )nomo yang desu. peopl protest femicid (a hate crime target women) o...,No hashtags,"{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.8481}",-0.8481,neg
"@HindutvaWatchIn It is Hate Crime
Majority has a jealousy with economic wellbeing of Muslim
Majority is driven by H… https://t.co/n3b5Xc8CVE",0,0,it hate crime major jealousi econom wellb muslim major driven h...,No hashtags,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
@cristty__ What is the source of ur allegation?? Moreover no body can be punished for the crime of his / her brothe… https://t.co/vMe0UH1uYG,0,0,what sourc ur allegation?? moreov bodi punish crime / brothe...,No hashtags,"{'neg': 0.509, 'neu': 0.491, 'pos': 0.0, 'compound': -0.8053}",-0.8053,neg
Pooping after a shower is your body performing a hate crime on you,0,10,poop shower bodi perform hate crime,No hashtags,"{'neg': 0.643, 'neu': 0.357, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
Attorney Ben Crump Calls For The FBI To Investigate The Death Of Jelani Day As A Hate Crime https://t.co/1CPIagbvWg,0,0,attorney ben crump call for the fbi to investig the death of jelani day as a hate crime,No hashtags,"{'neg': 0.442, 'neu': 0.558, 'pos': 0.0, 'compound': -0.9022}",-0.9022,neg
Attorney Ben Crump Calls For The FBI To Investigate The Death Of Jelani Day As A Hate Crime https://t.co/7F8c5dpOtd,0,0,attorney ben crump call for the fbi to investig the death of jelani day as a hate crime,No hashtags,"{'neg': 0.442, 'neu': 0.558, 'pos': 0.0, 'compound': -0.9022}",-0.9022,neg
Maybe you think we're hating on him because that's what some of you do to jw on a daily basis. He breathes and y'al… https://t.co/C2PvLuOPJh,0,2,mayb think we'r hate that' jw daili basis. he breath y'al...,No hashtags,"{'neg': 0.242, 'neu': 0.588, 'pos': 0.17, 'compound': -0.2732}",-0.2732,neg
"@PresRajapaksa @ImranKhanPTI This was not a hate crime.
An other friendly country after China, is sacrificed for we… https://t.co/2vpMZFJOrh",0,0,"thi hate crime. an friendli countri china, sacrif we...",No hashtags,"{'neg': 0.507, 'neu': 0.493, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
"@MashwaniAzhar @PresRajapaksa @ImranKhanPTI This was not a hate crime.
An other friendly country after China, is sa… https://t.co/uINfj6AeNP",0,0,"thi hate crime. an friendli countri china, sa...",No hashtags,"{'neg': 0.545, 'neu': 0.455, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
@Sidhu_online This was a hate crime,0,0,thi hate crime,No hashtags,"{'neg': 0.878, 'neu': 0.122, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
@Kaeilll i can not let this tinola slander in my tl this is hate crime,0,0,let tinola slander tl hate crime,No hashtags,"{'neg': 0.643, 'neu': 0.357, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
@ManasvinP @Shinde_Voice Crimes happen every day why not mention people of hindu religion and other religions also… https://t.co/pGCXVsBdv6,0,0,crime happen everi day mention peopl hindu religion religion also...,No hashtags,"{'neg': 0.28, 'neu': 0.72, 'pos': 0.0, 'compound': -0.5423}",-0.5423,neg
"@Ravindr88327063 @IndranilRoy @zoo_bear @krishnatarun03 floating dead bodies in ganga is the reality, rising price… https://t.co/H3SoiccQfE",0,1,"float dead bodi ganga reality, rise price...",No hashtags,"{'neg': 0.417, 'neu': 0.583, 'pos': 0.0, 'compound': -0.6486}",-0.6486,neg
@ManasvinP @Sachuyadav94 @HinduITCell Stop talking hate crime you hate monger,0,0,stop talk hate crime hate monger,No hashtags,"{'neg': 0.868, 'neu': 0.132, 'pos': 0.0, 'compound': -0.9201}",-0.9201,neg
@Johnnybeesknees @VitoGesualdi When you run the risk of having your therapist hate you because you have the paraphi… https://t.co/vay8m1MYYx,0,0,when run risk therapist hate paraphi...,No hashtags,"{'neg': 0.592, 'neu': 0.408, 'pos': 0.0, 'compound': -0.7003}",-0.7003,neg
@ManasvinP @Sachuyadav94 @HinduITCell So you're saying that places offered to them are roads. that's the first I've… https://t.co/f2aGgXcMcm,0,0,so say place offer roads. that' first i've...,No hashtags,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
"@GossipsTv @StarPlus As late night show, story shows many murder, mysteries, crime, cozy romance as per taste of la… https://t.co/vEf13f4lhO",0,1,"as late night show, stori show mani murder, mysteries, crime, cozi romanc per tast la...",No hashtags,"{'neg': 0.387, 'neu': 0.613, 'pos': 0.0, 'compound': -0.8481}",-0.8481,neg
‘Teachers ask Muslim students why they don’t kill Hindus’: Pakistani Journalist reveals how Hindu hate is taught in… https://t.co/u2z8yjnSvn,0,1,'teacher ask muslim student kill hindus': pakistani journalist reveal hindu hate taught in...,No hashtags,"{'neg': 0.433, 'neu': 0.567, 'pos': 0.0, 'compound': -0.8555}",-0.8555,neg
Misogyny is now to be considered a hate crime in England and Wales https://t.co/rQjyN030rM,0,0,misogyni consid hate crime england wale,No hashtags,"{'neg': 0.643, 'neu': 0.357, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
State sponsored hate crime based on religion of peace ✌ https://t.co/eWh0JTYYTQ,0,1,state sponsor hate crime base religion peac,No hashtags,"{'neg': 0.59, 'neu': 0.41, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
Start from home!! Home is the first school and brewing of everything good or bad. Go through unlearning and relearn… https://t.co/O5JPGDki6n,0,1,start home!! home first school brew everyth good bad. go unlearn relearn...,No hashtags,"{'neg': 0.24, 'neu': 0.589, 'pos': 0.171, 'compound': -0.2924}",-0.2924,neg
@sdik68409859 @AadipurushKiJai @ShahidK29183499 @anonymous_boy00 @deepaknain16 @HindutvaWatchIn @Khangirl__123 https://t.co/KFNN0XD4Vm,0,0,,No hashtags,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
This practice is common-place among the English-language Indian print news outlets too. A crime by a Hindu individu… https://t.co/bX86jMdEIL,0,1,thi practic common-plac among english-languag indian print news outlet too. a crime hindu individu...,No hashtags,"{'neg': 0.226, 'neu': 0.774, 'pos': 0.0, 'compound': -0.5423}",-0.5423,neg
@PSFAERO @MFA_SriLanka @SrilankaPMO Again criminals have criminal mind set religion might be a base for crime. I ha… https://t.co/l09vlWpUZx,0,0,again crimin crimin mind set religion might base crime. i ha...,No hashtags,"{'neg': 0.28, 'neu': 0.72, 'pos': 0.0, 'compound': -0.5423}",-0.5423,neg
@schewra I think instead of blaming oposition u should be questioning the current government about there promise to… https://t.co/v9CR2KBvHJ,0,2,i think instead blame oposit u question current govern promis to...,No hashtags,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.34}",-0.34,neg
@ImranKhanPTI Hate u Pakistan !! . We are not fool &amp; Don't say again it was not a vigilante attack .We are not babi… https://t.co/OBPwcj0EKa,0,0,hate u pakistan !! . we fool &amp; don't say vigilant attack .we babi...,No hashtags,"{'neg': 0.452, 'neu': 0.415, 'pos': 0.133, 'compound': -0.7309}",-0.7309,neg
@Joannechocolat @shailjapatel The response of many to the horrific murder of a woman by a cop to call for *more* po… https://t.co/J97au0Xe2U,0,1,the respons mani horrif murder woman cop call *more* po...,No hashtags,"{'neg': 0.343, 'neu': 0.657, 'pos': 0.0, 'compound': -0.6908}",-0.6908,neg
"@Joannechocolat @shailjapatel Undoubtedly that is the reason, but they're not wrong: hate crime laws are reactionar… https://t.co/ZpBxsweo4Z",0,3,"undoubtedli reason, they'r wrong: hate crime law reactionar...",No hashtags,"{'neg': 0.673, 'neu': 0.327, 'pos': 0.0, 'compound': -0.8834}",-0.8834,neg
"@ChinaPakWW @China_Amb_India @globaltimesnews 1.3 billion people means 2.6 billion hands &amp; hate crime is less than 0.01%,,,😊",0,0,"1.3 billion peopl mean 2.6 billion hand &amp; hate crime le 0.01%,,,",No hashtags,"{'neg': 0.371, 'neu': 0.464, 'pos': 0.165, 'compound': -0.6124}",-0.6124,neg
@ChinaPakWW Happy that i live in worlds most successful secular democracy of India... Despite 1.3 billion people of… https://t.co/TYamdyBCky,0,0,happi live world success secular democraci india... despit 1.3 billion peopl of...,No hashtags,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.5719}",0.5719,pos
Vigilante? A mob of murderers are now called “vigilante”. This man lacks intent to identify this target killing /ha… https://t.co/8zbE2ziVg1,4,7,"vigilante? a mob murder call ""vigilante"". thi man lack intent identifi target kill /ha...",No hashtags,"{'neg': 0.539, 'neu': 0.461, 'pos': 0.0, 'compound': -0.9136}",-0.9136,neg
@FafDaPlaces @pakistan_untold maybe but in the past year incident much like you described are happening more and mo… https://t.co/BD29sAL7Z1,0,0,mayb past year incid much like describ happen mo...,No hashtags,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}",0.3612,pos
@RajapaksaNamal @ImranKhanPTI In my country vile gobar bigots would have been justifying the hate crime. At least P… https://t.co/ukIpXzNeUi,0,0,in countri vile gobar bigot would justifi hate crime. at least p...,No hashtags,"{'neg': 0.557, 'neu': 0.443, 'pos': 0.0, 'compound': -0.9062}",-0.9062,neg
"@LimaBuckeye07 @GreednEnvy @ajplus FYI, you're still posting stuff that you think makes your point, but doesn't. ""h… https://t.co/7wh6hyCExL",0,0,"fyi, still post stuff think make point, doesn't. ""h...",No hashtags,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.2023}",0.2023,pos
"@LimaBuckeye07 @GreednEnvy @ajplus Sigh.
Bullying CAN include hate crimes but not all bullying is a hate crime. Thi… https://t.co/9dzOqgqdYy",0,0,sigh. bulli can includ hate crime bulli hate crime. thi...,No hashtags,"{'neg': 0.702, 'neu': 0.244, 'pos': 0.054, 'compound': -0.936}",-0.936,neg
"Is he serious? He feels less safe as a gay man in 2021 than he did in 1991, under section 28/no equal marriage/no c… https://t.co/lseRj4xznM",0,1,"is serious? he feel le safe gay man 2021 1991, section 28/no equal marriage/no c...",No hashtags,"{'neg': 0.076, 'neu': 0.756, 'pos': 0.169, 'compound': 0.3818}",0.3818,pos
"Was listening to voices across thr border in the wee hours, learnt that the victim in the #Sialkot hate crime, was… https://t.co/gPQDo83Exx",1,4,"wa listen voic across thr border wee hours, learnt victim #sialkot hate crime, was...",#Sialkot,"{'neg': 0.458, 'neu': 0.542, 'pos': 0.0, 'compound': -0.8519}",-0.8519,neg
"For risking her parent life, a daughter will also hate him bc she expected more from him, she expected him to under… https://t.co/Sz1Z7OBF8X",0,2,"for risk parent life, daughter also hate bc expect him, expect under...",No hashtags,"{'neg': 0.367, 'neu': 0.633, 'pos': 0.0, 'compound': -0.7003}",-0.7003,neg
It’s my job to come up with some rationality behind hate &amp; apathy but I can’t this time😢 the bigger issue isn’t the… https://t.co/K52J9z4ofu,0,3,it' job come ration behind hate &amp; apathi i can't time bigger issu the...,No hashtags,"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.5719}",-0.5719,neg
"@AskAnshul Tehrik E Pakistan Party supporter did this crime and it's clearly organized crime

If we all people of t… https://t.co/tkH2bNW6GZ",0,0,tehrik e pakistan parti support crime clearli organ crime if peopl t...,No hashtags,"{'neg': 0.395, 'neu': 0.452, 'pos': 0.153, 'compound': -0.6486}",-0.6486,neg
"@AskAnshul Henious 

People are getting mad in the name of religion 

Oneday this politicians will face severe cons… https://t.co/VVmfM7Noql",0,0,heniou peopl get mad name religion oneday politician face sever cons...,No hashtags,"{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.4939}",-0.4939,neg
"@imraansiddiqi @DrSadiaA Across the world whenever a hate crime occurs, there's presence of one particular religion. Why is that?",0,0,"across world whenev hate crime occurs, there' presenc one particular religion. whi that?",No hashtags,"{'neg': 0.396, 'neu': 0.604, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
"Don't make fool of others.

It was not a vigilante attack.

It was a crime covered with hate for non Muslims..… https://t.co/i4yuehzwfN",1,1,don't make fool others. it vigilant attack. it crime cover hate non muslims.....,No hashtags,"{'neg': 0.46, 'neu': 0.357, 'pos': 0.183, 'compound': -0.8017}",-0.8017,neg
The brutal incineration and murder of Priyantha Kumara Diyawadana is a reprehensible hate crime that cannot be tole… https://t.co/tFd3ogOmNJ,10,72,the brutal inciner murder priyantha kumara diyawadana reprehens hate crime cannot tole...,No hashtags,"{'neg': 0.667, 'neu': 0.333, 'pos': 0.0, 'compound': -0.9517}",-0.9517,neg
saturday classes should be considered as a serious hate crime against humanity because there's no way someone woke… https://t.co/p6qrJqiTLW,1,4,saturday class consid seriou hate crime human there' way someon woke...,No hashtags,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
"Man sentenced to nearly 7 years for attacking Black man with knife was repeat hate crime offender

https://t.co/RqTVaIau3d",0,0,man sentenc nearli 7 year attack black man knife repeat hate crime offend,No hashtags,"{'neg': 0.61, 'neu': 0.39, 'pos': 0.0, 'compound': -0.91}",-0.91,neg
Gender specific pronouns are a construct of a cis biological male dominated society. Their very use is tantamount t… https://t.co/u41Vkryxx0,0,0,gender specif pronoun construct ci biolog male domin society. their use tantamount t...,No hashtags,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
California man sentenced for fourth time in hate crime https://t.co/ivK4Bju96R,0,0,california man sentenc fourth time hate crime,No hashtags,"{'neg': 0.59, 'neu': 0.41, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
The tragic incident of insult to humanity that has taken place in Sialkot today will cause many difficulties for th… https://t.co/uW9lqz0DnY,0,4,the tragic incid insult human taken place sialkot today caus mani difficulti th...,No hashtags,"{'neg': 0.364, 'neu': 0.636, 'pos': 0.0, 'compound': -0.743}",-0.743,neg
https://t.co/kQxZc6ZxQF (LV.7) California man sentenced for the fourth time for hate crime attack  - CNN https://t.co/RqORuKnXWU,0,0,,No hashtags,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
"@shayne_chester @iMusing Interesting, hate crime ?",0,0,"interesting, hate crime ?",No hashtags,"{'neg': 0.727, 'neu': 0.0, 'pos': 0.273, 'compound': -0.6705}",-0.6705,neg
"Vic Mignogna has NEVER been charged with a crime. 

Despite that, people making crap up has this JOKE of a conventi… https://t.co/rSYGAATuUT",0,2,"vic mignogna never charg crime. despit that, peopl make crap joke conventi...",No hashtags,"{'neg': 0.156, 'neu': 0.541, 'pos': 0.303, 'compound': 0.3506}",0.3506,pos
"Hate crime and evil instead of hating humanity. 
Criminals deserve severe punishment!

 #sialkotincident",0,0,hate crime evil instead hate humanity. crimin deserv sever punishment! #sialkotincid,#sialkotincident,"{'neg': 0.758, 'neu': 0.242, 'pos': 0.0, 'compound': -0.9628}",-0.9628,neg
"Please everyone speak against everyone who committed this heinous crime.

Ooh sorry the whole nation is involved
Ev… https://t.co/a4u3KPo6NK",1,4,pleas everyon speak everyon commit heinou crime. ooh sorri whole nation involv ev...,No hashtags,"{'neg': 0.21, 'neu': 0.659, 'pos': 0.132, 'compound': -0.3182}",-0.3182,neg
each time i’m not seating next to a pretty person on the plane it feels like a hate crime,0,0,time i'm seat next pretti person plane feel like hate crime,No hashtags,"{'neg': 0.407, 'neu': 0.452, 'pos': 0.141, 'compound': -0.6908}",-0.6908,neg
Hamare yaha koi Hindu ko Bolta hai ke go to India. Why? This also counts in hate crime and needs to punish. Please… https://t.co/FEUWTDZ6YD,0,0,hamar yaha koi hindu ko bolta hai ke go india. why? thi also count hate crime need punish. please...,No hashtags,"{'neg': 0.398, 'neu': 0.602, 'pos': 0.0, 'compound': -0.891}",-0.891,neg
How you know he didn't conduct any crime or didn't broke any law? Agar usne Kuch kia hota tu state ko usse saza den… https://t.co/FZszkSQcab,0,0,how know conduct crime broke law? agar usn kuch kia hota tu state ko uss saza den...,No hashtags,"{'neg': 0.429, 'neu': 0.571, 'pos': 0.0, 'compound': -0.8885}",-0.8885,neg
@rishi_suri @ImranKhanPTI You are right. But this applies to our Honourable PM also. He follows many hate mongers o… https://t.co/6uUMio6nGb,0,1,you right. but appli honour pm also. he follow mani hate monger o...,No hashtags,"{'neg': 0.239, 'neu': 0.521, 'pos': 0.239, 'compound': 0.0}",0.0,nutral
"Wow .. 'शेर' Rajdeep is NOT scared to tag Imran Khan, while questioning hate crime that took place in Pakistan

But… https://t.co/GlyaVHdDvF",3,17,"wow .. 'sher' rajdeep not scare tag imran khan, question hate crime took place pakistan but...",No hashtags,"{'neg': 0.281, 'neu': 0.468, 'pos': 0.251, 'compound': -0.1955}",-0.1955,neg
This is a hate crime omg https://t.co/zwA4nAp7nm,0,0,thi hate crime oh god!,No hashtags,"{'neg': 0.646, 'neu': 0.173, 'pos': 0.181, 'compound': -0.75}",-0.75,neg
@ArbazAbid @Shyam58519554 @ArslanNaseerCBA bsdk yahan sabko dikh rha hai kon jala rha hai sharm kar le thodi. Ek to… https://t.co/lbe6XK3r0J,0,1,bsdk yahan sabko dikh rha hai kon jala rha hai sharm kar le thodi. ek to...,No hashtags,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
"@mindgage Exactly ! Starting from Babri Masjid demolishing to every religious riot, If we turn back the pages, we'd… https://t.co/DFXaCIVjP9",1,1,"exactli ! start babri masjid demolish everi religi riot, if turn back pages, we'd...",No hashtags,"{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.5983}",-0.5983,neg
@road_runner1234 I love it very much. But I hate terrorism and crime against our loving females. We all peace lover… https://t.co/DYBF0o6xN8,0,1,i love much. but i hate terror crime love females. we peac lover...,No hashtags,"{'neg': 0.5, 'neu': 0.208, 'pos': 0.292, 'compound': -0.7906}",-0.7906,neg
"@Shiffa_ZY I feel angry &amp; sorry for this man at the same time.
Angry because he killed an innocent soul.. a crime t… https://t.co/Gr1V6CRWKV",0,1,i feel angri &amp; sorri man time. angri kill innoc soul.. crime t...,No hashtags,"{'neg': 0.451, 'neu': 0.549, 'pos': 0.0, 'compound': -0.8481}",-0.8481,neg
"A truly heinous crime, and a day of great sorrow. I trust the perpetrators will be brought to justice; and I hope t… https://t.co/mhKEYMfB92",98,581,"a truli heinou crime, day great sorrow. i trust perpetr brought justice; i hope t...",No hashtags,"{'neg': 0.259, 'neu': 0.226, 'pos': 0.515, 'compound': 0.7783}",0.7783,pos
@alok_bhatt It's your failure to counter their narrative if they are spreading false news. Speak on facts of the ca… https://t.co/b0YKQr5BWr,0,0,it' failur counter narr spread fals news. speak fact ca...,No hashtags,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
the fact that only 300 copies were made is a hate crime 🔪 https://t.co/VbtnI1AbdA,0,1,fact 300 copi made hate crime,No hashtags,"{'neg': 0.643, 'neu': 0.357, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
"@AasimSajjadA You Ahmadiyya feel shame as you are also not different than other fanatics/ terrorists, as you people… https://t.co/pwXS5aC73f",0,0,"you ahmadiyya feel shame also differ fanatics/ terrorists, people...",No hashtags,"{'neg': 0.507, 'neu': 0.493, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
"@ImranKhanPTI Don't make fool of others

It was not a vigilante attack

It was a crime covered with hate for non Muslims
@MFA_SriLanka",255,2325,don't make fool other it vigilant attack it crime cover hate non muslim,No hashtags,"{'neg': 0.46, 'neu': 0.357, 'pos': 0.183, 'compound': -0.8017}",-0.8017,neg
im gonna hate crime a streaming company right now,2,3,im gonna hate crime stream compani right,No hashtags,"{'neg': 0.59, 'neu': 0.41, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
@natashabadhwar India needs a strong hate crime law like many other countries but .....,0,4,india need strong hate crime law like mani countri .....,No hashtags,"{'neg': 0.379, 'neu': 0.316, 'pos': 0.305, 'compound': -0.34}",-0.34,neg
@DarklinaStories You're working for other people but not for me 😭! I'm literally tapping on your name in this conve… https://t.co/ereao4vjVG,0,0,you'r work peopl ! i'm liter tap name conve...,No hashtags,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
"Woman Devastated After Losing Husband And Kin To Brutal Hate Crime, Gets Help From Sewa Nyaya Utthan Foundation
https://t.co/KAGlHTcTfB",116,283,"woman devast after lose husband and kin to brutal hate crime, get help from sewa nyaya utthan foundat",No hashtags,"{'neg': 0.471, 'neu': 0.438, 'pos': 0.091, 'compound': -0.9062}",-0.9062,neg
@WIONews I wish wion covers hate crime in India as well,0,0,i wish wion cover hate crime india well,No hashtags,"{'neg': 0.48, 'neu': 0.2, 'pos': 0.32, 'compound': -0.5267}",-0.5267,neg
Jussie Smollett’s legal team begins defense at actor’s trial for allegedly staging and reporting a phony hate crime… https://t.co/eNeWC6W3ta,0,0,jussi smollett' legal team begin defens actor' trial allegedli stage report phoni hate crime...,No hashtags,"{'neg': 0.215, 'neu': 0.698, 'pos': 0.087, 'compound': -0.4939}",-0.4939,neg
The pic on the right is the reason for the horrific crime on the left. #PakistanTerroristNation has to be pulled up… https://t.co/RJTer3OYl2,2,4,the pic right reason horrif crime left. #pakistanterroristn pull up...,#PakistanTerroristNation,"{'neg': 0.28, 'neu': 0.72, 'pos': 0.0, 'compound': -0.5423}",-0.5423,neg
"@Twitter @TwitterIndia 

Please make note of PR companies hired for BiggBoss marketting and PR or contestant and ab… https://t.co/n0IVYoYNMu",0,0,pleas make note pr compani hire biggboss market pr contest ab...,No hashtags,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
"Police publicly admitted their interpretation of Finland’s law would make publishing the #Bible a hate crime.

https://t.co/urrUhzCJK0",0,0,polic publicli admit interpret finland' law would make publish #bibl hate crime.,#Bible,"{'neg': 0.4, 'neu': 0.5, 'pos': 0.1, 'compound': -0.7506}",-0.7506,neg
Washington police investigate 'deeply disturbing' school board meeting incident as hate crime https://t.co/mENCj0Y7KK,0,0,washington polic investig 'deepli disturbing' school board meet incid hate crime,No hashtags,"{'neg': 0.568, 'neu': 0.432, 'pos': 0.0, 'compound': -0.8885}",-0.8885,neg
"@ShobhaMookerje1 @swati_gs Whitewashers have no limits ma'am, they might go to any extent to normalise any such hat… https://t.co/nPIhfuTGbu",0,3,"whitewash limit ma'am, might go extent normalis hat...",No hashtags,"{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.0258}",0.0258,nutral
"🎶Hate, jealousy, crime and violence
No, we don't need no more, need no more, no way

BGYO ON AACA REDCARPET… https://t.co/o2sBGWIZE3",3,0,"hate, jealousy, crime violenc no, need more, need more, way bgyo on aaca redcarpet...",No hashtags,"{'neg': 0.539, 'neu': 0.461, 'pos': 0.0, 'compound': -0.8934}",-0.8934,neg
@SimuLiu Why weren't we told this before this is a hate crime https://t.co/xGKCtoVt8E,1,613,whi told hate crime,No hashtags,"{'neg': 0.783, 'neu': 0.217, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
Just because grown man childs like to watch suuuuiiiii this criminal &amp; rapist walks free. A crime against humanity… https://t.co/WpQHJSYTTP,1,9,just grown man child like watch suuuuiiiii crimin &amp; rapist walk free. a crime humanity...,No hashtags,"{'neg': 0.347, 'neu': 0.413, 'pos': 0.24, 'compound': -0.5574}",-0.5574,neg
"@LimaBuckeye07 @GreednEnvy @ajplus That's not what you think it is
 That's hate crime, not bullying. Two totally di… https://t.co/tMOgtTHwPq",0,0,"that' think that' hate crime, bullying. two total di...",No hashtags,"{'neg': 0.649, 'neu': 0.351, 'pos': 0.0, 'compound': -0.9022}",-0.9022,neg
"@mikebutcher Im not sure but i think I can help you ""dry-hire"" two MAGAts in Chicago to fake a hate crime.",0,0,"im sure think i help ""dry-hire"" two magat chicago fake hate crime.",No hashtags,"{'neg': 0.484, 'neu': 0.282, 'pos': 0.235, 'compound': -0.743}",-0.743,neg
tatanggalin na raw New Girl sa netflix???? a hate crime,0,6,tatanggalin na raw new girl sa netflix???? hate crime,No hashtags,"{'neg': 0.538, 'neu': 0.462, 'pos': 0.0, 'compound': -0.8466}",-0.8466,neg
"Nothing to do w/current subject but my pet hate, or 1 of many, is when ppl being interviewed abt an assault/murder… https://t.co/T0sc2HcxTo",0,0,"noth w/current subject pet hate, 1 many, ppl interview abt assault/murder...",No hashtags,"{'neg': 0.291, 'neu': 0.709, 'pos': 0.0, 'compound': -0.5719}",-0.5719,neg
