text,retweet_count,favorite_count,clean_tweet,Hash words,scores,compound,comp_score
@honnasiri @thathagat7 @abhijitmajumder Kamlesh incident is not about tolerance; it was a horrific crime. For his h… https://t.co/ynr0GHdyy5,0,0,kamlesh incid tolerance; horrif crime. for h...,No hashtags,"{'neg': 0.327, 'neu': 0.467, 'pos': 0.206, 'compound': -0.3182}",-0.3182,neg
https://t.co/vm8j2fUD5n (LV.6) Man Charged With Sending Dozens of Violent Threats to L.G.B.T.Q. Groups - The New Yo… https://t.co/6IYJIZ0IzW,0,0,,No hashtags,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
wakui took down doratake maitake and fuyutake in one arc damn this is a hate crime,428,1709,wakui took doratak maitak fuyutak one arc damn hate crime,No hashtags,"{'neg': 0.586, 'neu': 0.414, 'pos': 0.0, 'compound': -0.872}",-0.872,neg
Man Charged With Sending Dozens of Violent Threats to L.G.B.T.Q. Groups https://t.co/CaKQ1UzLpl,0,1,man charg with send dozen violent threat l.g.b.t.q. group,No hashtags,"{'neg': 0.51, 'neu': 0.49, 'pos': 0.0, 'compound': -0.8074}",-0.8074,neg
Creating hostility over sex or gender should be hate crime - report https://t.co/9skDmWharq,0,0,creat hostil sex gender hate crime - report,No hashtags,"{'neg': 0.59, 'neu': 0.41, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
"REF 8263
THE CASE LAW -HATE CRIME CREATION
PLAYER'S JUSSIE SMOLLETT (USA)
GIST-THE ACTOR CREATE  A SCENARIO WITH TW… https://t.co/NXOaVtoJjR",0,0,ref 8263 the case law -hate crime creation player' jussi smollett (usa) gist-th actor creat a scenario with tw...,No hashtags,"{'neg': 0.296, 'neu': 0.617, 'pos': 0.086, 'compound': -0.7269}",-0.7269,neg
"US actor Jussie Smollett on Monday denied fabricating a hate crime against himself during his trial in Chicago, a c… https://t.co/rYPg7T03hX",0,0,"us actor jussi smollett monday deni fabric hate crime trial chicago, c...",No hashtags,"{'neg': 0.419, 'neu': 0.581, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
Bad music neural net just called me a manic pixie dream girl this counts as a hate crime,1,3,bad music neural net call manic pixi dream girl count hate crime,No hashtags,"{'neg': 0.517, 'neu': 0.386, 'pos': 0.097, 'compound': -0.8658}",-0.8658,neg
Former 'Empire' actor Jussie Smollett took the stand in his criminal trial in a high-stakes attempt to rebut charge… https://t.co/VWKAto6JFf,2,0,former 'empire' actor jussi smollett took stand crimin trial high-stak attempt rebut charge...,No hashtags,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
please kill the fan in my rooms family because it hit me when I raised my hands.  THIS FAN COMMITED A HATE CRIME AND NEEDS TO BE STOPED💅💅✨,1,1,pleas kill fan room famili hit i rais hands. thi fan commit a hate crime and need to be stope,No hashtags,"{'neg': 0.388, 'neu': 0.391, 'pos': 0.221, 'compound': -0.7964}",-0.7964,neg
@TheSwiftSociety @billboard @taylorswift13 25th? A literal hate crime.,0,10,25th? a liter hate crime.,No hashtags,"{'neg': 0.783, 'neu': 0.217, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
"@StmCh_ Jussie Smollett testifying saying there was “No Hoax” is laughable, you incited a race war and what you did was a hate crime.",0,5,"jussi smollett testifi say ""no hoax"" laughable, incit race war hate crime.",No hashtags,"{'neg': 0.681, 'neu': 0.265, 'pos': 0.053, 'compound': -0.9349}",-0.9349,neg
My next door neighbour mowing their lawns at 7am this morning is honestly a hate crime,0,5,my next door neighbour mow lawn 7am morn honestli hate crime,No hashtags,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
"Ben Crump calls for hate crime investigation into death of Jelani Day

https://t.co/1RJRTmIRz4",0,0,ben crump call hate crime investig death jelani day,No hashtags,"{'neg': 0.649, 'neu': 0.351, 'pos': 0.0, 'compound': -0.9022}",-0.9022,neg
"@JohnJoh81631249 @Now_I_get_it @washingtonpost There’s tons

https://t.co/1hNf9cDNxd",1,2,there' ton,No hashtags,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
"@kleinwassermann Es ist soooo true
so ein hate crime",0,2,es ist soooo true ein hate crime,No hashtags,"{'neg': 0.514, 'neu': 0.286, 'pos': 0.2, 'compound': -0.6597}",-0.6597,neg
"@i_m_musafir @Diya4RG @un @hrw @PMOIndia @ndtv
Welcome Mr. @KremlinRussia_E

Welcome to the @narendramodi ji's &amp;… https://t.co/UK00llxlsK",0,0,welcom mr. welcom ji' &amp;...,No hashtags,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
"@Ant1sTM I am going to commit hate crime against women
Because they're dumb",0,0,i go commit hate crime woman becaus they'r dumb,No hashtags,"{'neg': 0.629, 'neu': 0.24, 'pos': 0.132, 'compound': -0.8519}",-0.8519,neg
"IPRI Infolytics| Over the past 2 decades, there has been a rise in Islamophobia &amp; anti-Muslim rhetoric. 

Hate crim… https://t.co/Wz38kN9sTa",2,2,"ipri infolytics| over past 2 decades, rise islamophobia &amp; anti-muslim rhetoric. hate crim...",No hashtags,"{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.5719}",-0.5719,neg
@WarrichA @Es0t3ric Hate Crime,0,1,hate crime,No hashtags,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
@kvsrain @SilverTaequila @blackzunflower @PopBase I don't hate anyone but I also don't like them it's normal tho do… https://t.co/jkgHAzOxwX,0,3,i hate anyon i also like normal tho do...,No hashtags,"{'neg': 0.33, 'neu': 0.446, 'pos': 0.223, 'compound': -0.296}",-0.296,neg
"IPRI Infolytics| Over the past 2 decades, there has been a rise in Islamophobia &amp; anti-Muslim rhetoric. 

Hate crim… https://t.co/bcpRU4uHBW",45,103,"ipri infolytics| over past 2 decades, rise islamophobia &amp; anti-muslim rhetoric. hate crim...",No hashtags,"{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.5719}",-0.5719,neg
How can you have profiles without any verifications and proper identity …these mediums have become main center for… https://t.co/YeUfWbUI07,2,78,how profil without verif proper ident ...these medium becom main center for...,No hashtags,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
"More BJP connection to sheer barbarism violence and hate against minorities. Graham Staines and his two sons, 10 an… https://t.co/Ux38xjJaTL",5,10,"more bjp connect sheer barbar violenc hate minorities. graham stain two sons, 10 an...",No hashtags,"{'neg': 0.222, 'neu': 0.778, 'pos': 0.0, 'compound': -0.5719}",-0.5719,neg
